"chla","temp","bar","nas","przew","ph","namon"
72,20.4,NA,98.8,211,7.7,NA
41,21.5,NA,96.43,201,8.1,NA
10,20.9,NA,95.31,196,7.7,NA
NA,NA,NA,NA,NA,NA,NA
23,11.2,NA,93.05,191,8.8,NA
23,NA,NA,NA,NA,NA,NA
NA,0.5,NA,86.62,205,7.2,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,8.6,NA,90.19,206,7.7,NA
7.1,11.1,NA,90.11,202,7.5,NA
32,NA,NA,NA,NA,NA,NA
46,24,NA,121.28,192,9.1,NA
NA,NA,NA,NA,NA,NA,NA
7.2,24.8,NA,123.16,NA,8.9,NA
NA,NA,NA,NA,NA,NA,NA
11.1,14,NA,130.1,196,8.3,NA
NA,NA,NA,NA,NA,NA,NA
24,0.9,NA,93.25,215,8,NA
NA,NA,NA,NA,NA,NA,NA
88.5,18.5,20,112.12,211,8.74,NA
6.7,18.8,20,83.8,177,7.61,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
17.6,13.6,5,108.74,206,8.66,NA
NA,12.5,5,78.2,182,7.76,0.05
NA,21,5,78.9,189,8.95,0.05
NA,9.7,5,102.5,214,7.82,0.05
NA,19.6,0,70.7,211,8.49,0.1
NA,22.7,10,83.8,200,8.81,0.05
NA,12.6,5,64.5,184,8.32,0.05
72.5,13.6,10,118.8,221,8.77,0.007
31.4,8,5,88.91,209,8.3,0.05
20.2,16,0,126.77,191,9.2,NA
57.1,22.5,5,114.45,222,8.9,0.16
12.3,14,5,102.91,204,8.2,NA
3.3,16.2,NA,82.48,NA,8,NA
51.3,19.2,NA,89.9,NA,8.3,0.18
7.1,15.2,NA,134.52,NA,9.1,0.12
28.3,14,NA,84.47,NA,8,NA
63.9,19,NA,125.13,NA,9.2,NA
34.5,12,NA,68.71,NA,8.5,NA
26.7,13.8,0,97.62,NA,8.2,0.12
47,21,5,116.85,NA,8.5,0.14
2.5,15,0,88.29,NA,7.4,0.1
16.8,12,10,89.14,231,7.8,0.14
NA,NA,NA,NA,NA,NA,NA
73.1,22.4,5,98.08,210,8.6,NA
NA,NA,NA,NA,NA,NA,NA
27.1,10,20,101.24,210,8.7,0.14
NA,NA,NA,NA,NA,NA,NA
37.2,NA,NA,NA,172,NA,NA
NA,NA,NA,NA,NA,NA,NA
60.5,NA,NA,NA,194,NA,NA
NA,NA,NA,NA,NA,NA,NA
17.6,NA,NA,NA,186,NA,NA
NA,NA,NA,NA,NA,NA,NA
7.5,14.6,20,98.35,204,7.8,0.2
NA,NA,NA,NA,NA,NA,NA
29.4,20,40,101.32,189,8.8,NA
NA,NA,NA,NA,NA,NA,NA
30.5,8,20,99.07,210,8.5,NA
NA,NA,NA,NA,NA,NA,NA
44.4,15,20,75.4,196,7.8,NA
NA,NA,NA,NA,NA,NA,NA
97,17,20,113.87,190,8.7,0.2
NA,NA,NA,NA,NA,NA,NA
8.3,23,20,101.52,183,8.8,NA
NA,NA,NA,98.22,NA,8.377111111,0.103
17.2,15.8,NA,96.9,369,8.92,NA
23.1,19.7,NA,117.1,382,9.24,NA
26.4,25.5,NA,176,332,9.23,NA
23,22.4,NA,165,380,8.51,NA
1.39,14.5,NA,87.3,361,8.01,NA
28.6,10.5,NA,98.8,360,8.01,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,4,NA,78.7,NA,8.08,0.22
NA,4,NA,91.7,NA,7.97,0.127
NA,17.5,NA,106.7,NA,8.17,0.154
44.2,20.3,NA,111.9,387,8.37,0.197
48.2,22,50,118.8,388,8.27,NA
NA,21.9,NA,117.8,NA,7.87,NA
NA,9,25,88.5,NA,8.43,0.224
1.25,18,20,95.1,403,8.29,0.189
NA,9,NA,101.5,424,8.11,0.259
NA,3,NA,87.8,NA,7.2,0.267
NA,2.5,NA,81.4,NA,7.41,0.209
NA,1.5,NA,78.5,NA,7.06,0.294
6.4,15.8,5,84.81,234,7.6,NA
13.4,19.9,5,72.53,168,7.5,NA
23,8.9,5,115.07,118,7.8,NA
NA,11.3,NA,87.77,NA,7.7,0.05
NA,19.5,NA,103.54,NA,8.21,0.05
NA,7.1,NA,92.71,NA,7.56,0.05
6.4,15.6,NA,78.41,233,7.92,0.05
8.3,22.8,NA,102.3,176,8.3,0.05
16.3,11.5,NA,95.5,123,7.87,0.1
NA,11.8,NA,76.72,201,7.82,0.16
NA,19.6,NA,81.91,197,7.86,0.05
NA,12,NA,107.71,177,8.5,0.05
4,12.2,10,74.61,182,7.7,NA
11.1,20.6,5,84.71,191,7.9,NA
5.8,11.1,0,104.68,165,8.4,NA
10.1,16,NA,75.05,NA,7.9,0.1
9.9,19,NA,56.09,NA,7.6,0.22
6,9,NA,82.39,NA,7.5,0.1
5.9,13.1,NA,78.99,NA,7.7,NA
1.5,16.5,NA,70.7,NA,7.6,NA
9.2,9,NA,92.8,NA,7.9,NA
9.9,14.2,0,82.88,NA,7.9,0.1
10.3,21.2,0,101.51,NA,8.1,NA
5.6,11.4,0,86.13,NA,7.8,NA
12.2,17.5,5,59.62,236,7.4,NA
NA,NA,NA,NA,NA,NA,NA
4.3,19,10,42.07,209,7.2,0.2
NA,NA,NA,NA,NA,NA,NA
2.3,9,NA,86.73,170,7.7,NA
NA,NA,NA,NA,NA,NA,NA
3.2,NA,NA,NA,179,NA,NA
NA,NA,NA,NA,NA,NA,NA
2.7,NA,NA,NA,193,NA,NA
NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,172,NA,NA
NA,NA,NA,NA,NA,NA,NA
5.1,13,20,79.77,187,7.9,NA
NA,NA,NA,NA,NA,NA,NA
21,16.9,25,116.74,160,8.7,0.1
NA,NA,NA,NA,NA,NA,NA
27.3,8,20,98.22,163,7.8,NA
NA,NA,NA,NA,NA,NA,NA
6.3,14,20,73.79,205,7.2,NA
NA,NA,NA,NA,NA,NA,NA
10.8,19,10,78.75,193,8.2,NA
NA,NA,NA,NA,NA,NA,NA
NA,5,30,91.05,137,7.6,NA
NA,NA,NA,NA,NA,NA,NA
8.2,16.8,NA,80.41,NA,7.9,NA
4.3,20,NA,81.5,NA,7.8,NA
8,10.8,NA,96.75,NA,7.8,NA
NA,NA,NA,NA,NA,NA,NA
17.3,16.6,NA,88.3,NA,7.9,NA
11.2,10,NA,94.14,NA,7.9,NA
NA,NA,NA,NA,NA,NA,NA
8.3,22,0,90.49,NA,7.9,NA
NA,NA,NA,NA,NA,NA,NA
8.3,18,5,90.91,227,7.7,NA
NA,NA,NA,NA,NA,NA,NA
5.4,20,5,81.5,182,7.6,NA
NA,NA,NA,NA,NA,NA,NA
5.2,14,NA,103.88,165,8.2,NA
NA,NA,NA,NA,NA,NA,NA
1.6,NA,NA,NA,189,NA,NA
NA,NA,NA,NA,NA,NA,NA
11.5,NA,NA,NA,168,NA,NA
NA,NA,NA,NA,NA,NA,NA
16.3,NA,NA,NA,172,NA,NA
NA,NA,NA,NA,NA,NA,NA
7.8,13,20,82.62,186,7.8,NA
NA,NA,NA,NA,NA,NA,NA
21.1,16.5,25,113.73,157,8.6,0.1
NA,NA,NA,NA,NA,NA,NA
26.3,8,20,97.37,166,8,NA
NA,NA,NA,NA,NA,NA,NA
8.4,15,10,77.38,179,7.4,NA
NA,NA,NA,NA,NA,NA,NA
11.5,21,10,100,176,8.7,NA
NA,NA,NA,NA,NA,NA,NA
0,4.5,30,85.17,136,7.6,NA
NA,NA,NA,NA,NA,NA,NA
4.1,18,5,89.85,227,7.8,NA
NA,NA,NA,NA,NA,NA,NA
5.6,20,5,79.29,182,7.6,NA
NA,NA,NA,NA,NA,NA,NA
6.6,12,NA,103.06,177,8.4,NA
NA,NA,NA,NA,NA,NA,NA
1.3,NA,NA,NA,182,NA,NA
NA,NA,NA,NA,NA,NA,NA
14.6,NA,NA,NA,165,NA,NA
NA,NA,NA,NA,NA,NA,NA
18.4,NA,NA,NA,169,NA,NA
NA,NA,NA,NA,NA,NA,NA
12.3,13,20,86.42,186,7.8,0.1
NA,NA,NA,NA,NA,NA,NA
16.8,16.6,25,102.67,158,8.2,0.1
NA,NA,NA,NA,NA,NA,NA
30.9,7,20,102.39,170,8.3,NA
NA,NA,NA,NA,NA,NA,NA
8.7,15.5,10,78.23,180,7.4,NA
NA,NA,NA,NA,NA,NA,NA
9,21,10,96.63,172,8.8,NA
NA,NA,NA,NA,NA,NA,NA
0,6,30,90.98,134,7.6,NA
NA,NA,NA,NA,NA,NA,NA
NA,9.9,NA,93.03,204,7.8,NA
4.5,11.9,NA,91.72,491,7.7,NA
12.6,19.8,NA,83.35,185,7.5,NA
6.7,22,NA,100.8,151,8.2,NA
NA,12,NA,107.71,142,7.9,NA
1.2,2,NA,89,209,7.8,NA
11.6,16.7,5,98.76,205,7.9,NA
11.9,20.3,0,93.06,160,7.7,NA
